wavelength,value
3396.49979,0.29542
3395.53543,0.29559
3394.57106,0.29612
3393.60669,0.29666
3392.64233,0.29697
3391.67796,0.29701
3390.71359,0.29697
3389.74922,0.29697
3388.78486,0.29697
3387.82049,0.29690
3386.85612,0.29671
3385.89176,0.29641
3384.92739,0.29622
3383.96302,0.29631
3382.99866,0.29642
3382.03429,0.29638
3381.06992,0.29633
3380.10556,0.29634
3379.14119,0.29634
3378.17682,0.29628
3377.21246,0.29611
3376.24809,0.29586
3375.28372,0.29565
3374.31936,0.29562
3373.35499,0.29566
3372.39062,0.29556
3371.42626,0.29524
3370.46189,0.29489
3369.49752,0.29471
3368.53316,0.29466
3367.56879,0.29456
3366.60442,0.29428
3365.64006,0.29378
3364.67569,0.29319
3363.71132,0.29279
3362.74696,0.29263
3361.78259,0.29247
3360.81822,0.29209
3359.85385,0.29154
3358.88949,0.29100
3357.92512,0.29058
3356.96075,0.29017
3355.99639,0.28960
3355.03202,0.28905
3354.06765,0.28871
3353.10329,0.28853
3352.13892,0.28827
3351.17455,0.28792
3350.21019,0.28758
3349.24582,0.28717
3348.28145,0.28663
3347.31709,0.28607
3346.35272,0.28557
3345.38835,0.28501
3344.42399,0.28432
3343.45962,0.28366
3342.49525,0.28320
3341.53089,0.28284
3340.56652,0.28247
3339.60215,0.28210
3338.63779,0.28166
3337.67342,0.28119
3336.70905,0.28068
3335.74469,0.28016
3334.78032,0.27970
3333.81595,0.27918
3332.85159,0.27845
3331.88722,0.27770
3330.92285,0.27719
3329.95848,0.27680
3328.99412,0.27640
3328.02975,0.27603
3327.06538,0.27563
3326.10102,0.27510
3325.13665,0.27451
3324.17228,0.27400
3323.20792,0.27355
3322.24355,0.27294
3321.27918,0.27214
3320.31482,0.27150
3319.35045,0.27119
3318.38608,0.27097
3317.42172,0.27057
3316.45735,0.26995
3315.49298,0.26928
3314.52862,0.26878
3313.56425,0.26843
3312.59988,0.26802
3311.63552,0.26739
3310.67115,0.26656
3309.70678,0.26583
3308.74242,0.26535
3307.77805,0.26504
3306.81368,0.26475
3305.84932,0.26430
3304.88495,0.26374
3303.92058,0.26324
3302.95621,0.26282
3301.99185,0.26227
3301.02748,0.26156
3300.06311,0.26091
3299.09875,0.26040
3298.13438,0.25982
3297.17001,0.25918
3296.20565,0.25879
3295.24128,0.25870
3294.27691,0.25852
3293.31255,0.25803
3292.34818,0.25742
3291.38381,0.25685
3290.41945,0.25628
3289.45508,0.25575
3288.49071,0.25532
3287.52635,0.25492
3286.56198,0.25452
3285.59761,0.25416
3284.63325,0.25378
3283.66888,0.25336
3282.70451,0.25298
3281.74015,0.25256
3280.77578,0.25192
3279.81141,0.25109
3278.84705,0.25041
3277.88268,0.25002
3276.91831,0.24972
3275.95395,0.24929
3274.98958,0.24882
3274.02521,0.24837
3273.06084,0.24786
3272.09648,0.24731
3271.13211,0.24689
3270.16774,0.24647
3269.20338,0.24587
3268.23901,0.24522
3267.27464,0.24466
3266.31028,0.24420
3265.34591,0.24370
3264.38154,0.24313
3263.41718,0.24266
3262.45281,0.24229
3261.48844,0.24187
3260.52408,0.24138
3259.55971,0.24091
3258.59534,0.24039
3257.63098,0.23977
3256.66661,0.23914
3255.70224,0.23859
3254.73788,0.23808
3253.77351,0.23752
3252.80914,0.23684
3251.84478,0.23611
3250.88041,0.23540
3249.91604,0.23474
3248.95168,0.23404
3247.98731,0.23316
3247.02294,0.23242
3246.05858,0.23205
3245.09421,0.23179
3244.12984,0.23138
3243.16547,0.23077
3242.20111,0.22995
3241.23674,0.22907
3240.27237,0.22832
3239.30801,0.22769
3238.34364,0.22709
3237.37927,0.22638
3236.41491,0.22546
3235.45054,0.22455
3234.48617,0.22387
3233.52181,0.22322
3232.55744,0.22241
3231.59307,0.22155
3230.62871,0.22068
3229.66434,0.21979
3228.69997,0.21889
3227.73561,0.21805
3226.77124,0.21731
3225.80687,0.21662
3224.84251,0.21584
3223.87814,0.21493
3222.91377,0.21393
3221.94941,0.21300
3220.98504,0.21214
3220.02067,0.21116
3219.05631,0.21002
3218.09194,0.20896
3217.12757,0.20806
3216.16320,0.20709
3215.19884,0.20592
3214.23447,0.20476
3213.27010,0.20377
3212.30574,0.20286
3211.34137,0.20182
3210.37700,0.20074
3209.41264,0.19981
3208.44827,0.19892
3207.48390,0.19799
3206.51954,0.19708
3205.55517,0.19628
3204.59080,0.19555
3203.62644,0.19472
3202.66207,0.19360
3201.69770,0.19229
3200.73334,0.19104
3199.76897,0.18995
3198.80460,0.18888
3197.84024,0.18776
3196.87587,0.18676
3195.91150,0.18581
3194.94714,0.18464
3193.98277,0.18337
3193.01840,0.18228
3192.05404,0.18130
3191.08967,0.18026
3190.12530,0.17924
3189.16094,0.17821
3188.19657,0.17709
3187.23220,0.17593
3186.26783,0.17482
3185.30347,0.17366
3184.33910,0.17242
3183.37473,0.17118
3182.41037,0.17008
3181.44600,0.16909
3180.48163,0.16809
3179.51727,0.16701
3178.55290,0.16589
3177.58853,0.16473
3176.62417,0.16350
