wavelength,value
3364.67569,0.21469
3363.71132,0.21442
3362.74696,0.21419
3361.78259,0.21407
3360.81822,0.21398
3359.85385,0.21376
3358.88949,0.21348
3357.92512,0.21334
3356.96075,0.21339
3355.99639,0.21341
3355.03202,0.21327
3354.06765,0.21306
3353.10329,0.21289
3352.13892,0.21263
3351.17455,0.21223
3350.21019,0.21182
3349.24582,0.21156
3348.28145,0.21144
3347.31709,0.21135
3346.35272,0.21119
3345.38835,0.21092
3344.42399,0.21062
3343.45962,0.21030
3342.49525,0.20995
3341.53089,0.20971
3340.56652,0.20976
3339.60215,0.20987
3338.63779,0.20970
3337.67342,0.20929
3336.70905,0.20879
3335.74469,0.20838
3334.78032,0.20813
3333.81595,0.20797
3332.85159,0.20783
3331.88722,0.20765
3330.92285,0.20732
3329.95848,0.20686
3328.99412,0.20645
3328.02975,0.20629
3327.06538,0.20629
3326.10102,0.20612
3325.13665,0.20572
3324.17228,0.20537
3323.20792,0.20515
3322.24355,0.20489
3321.27918,0.20453
3320.31482,0.20416
3319.35045,0.20392
3318.38608,0.20387
3317.42172,0.20381
3316.45735,0.20362
3315.49298,0.20338
3314.52862,0.20308
3313.56425,0.20269
3312.59988,0.20226
3311.63552,0.20178
3310.67115,0.20128
3309.70678,0.20090
3308.74242,0.20075
3307.77805,0.20072
3306.81368,0.20064
3305.84932,0.20049
3304.88495,0.20034
3303.92058,0.20010
3302.95621,0.19975
3301.99185,0.19942
3301.02748,0.19906
3300.06311,0.19861
3299.09875,0.19828
3298.13438,0.19825
3297.17001,0.19827
3296.20565,0.19810
3295.24128,0.19777
3294.27691,0.19741
3293.31255,0.19708
3292.34818,0.19682
3291.38381,0.19660
3290.41945,0.19643
3289.45508,0.19625
3288.49071,0.19601
3287.52635,0.19566
3286.56198,0.19534
3285.59761,0.19513
3284.63325,0.19495
3283.66888,0.19470
3282.70451,0.19438
3281.74015,0.19405
3280.77578,0.19382
3279.81141,0.19373
3278.84705,0.19366
3277.88268,0.19341
3276.91831,0.19301
3275.95395,0.19258
3274.98958,0.19220
3274.02521,0.19185
3273.06084,0.19151
3272.09648,0.19116
3271.13211,0.19080
3270.16774,0.19046
3269.20338,0.19017
3268.23901,0.18996
3267.27464,0.18979
3266.31028,0.18953
3265.34591,0.18914
3264.38154,0.18879
3263.41718,0.18854
3262.45281,0.18826
3261.48844,0.18794
3260.52408,0.18758
3259.55971,0.18717
3258.59534,0.18678
3257.63098,0.18638
3256.66661,0.18602
3255.70224,0.18570
3254.73788,0.18530
3253.77351,0.18481
3252.80914,0.18444
3251.84478,0.18420
3250.88041,0.18400
3249.91604,0.18375
3248.95168,0.18342
3247.98731,0.18303
3247.02294,0.18265
3246.05858,0.18222
3245.09421,0.18176
3244.12984,0.18136
3243.16547,0.18092
3242.20111,0.18036
3241.23674,0.17976
3240.27237,0.17922
3239.30801,0.17884
3238.34364,0.17861
3237.37927,0.17835
3236.41491,0.17787
3235.45054,0.17722
3234.48617,0.17661
3233.52181,0.17615
3232.55744,0.17576
3231.59307,0.17534
3230.62871,0.17484
3229.66434,0.17422
3228.69997,0.17347
3227.73561,0.17266
3226.77124,0.17208
3225.80687,0.17181
3224.84251,0.17156
3223.87814,0.17113
3222.91377,0.17059
3221.94941,0.16994
3220.98504,0.16915
3220.02067,0.16830
3219.05631,0.16749
3218.09194,0.16687
3217.12757,0.16642
3216.16320,0.16587
3215.19884,0.16526
3214.23447,0.16479
3213.27010,0.16430
3212.30574,0.16359
3211.34137,0.16268
3210.37700,0.16176
3209.41264,0.16105
3208.44827,0.16057
3207.48390,0.16016
3206.51954,0.15963
3205.55517,0.15887
3204.59080,0.15805
3203.62644,0.15737
3202.66207,0.15671
3201.69770,0.15587
3200.73334,0.15503
3199.76897,0.15435
3198.80460,0.15362
3197.84024,0.15267
3196.87587,0.15159
3195.91150,0.15062
3194.94714,0.14982
3193.98277,0.14908
3193.01840,0.14842
3192.05404,0.14795
3191.08967,0.14747
3190.12530,0.14668
3189.16094,0.14566
3188.19657,0.14478
3187.23220,0.14416
3186.26783,0.14355
3185.30347,0.14264
3184.33910,0.14146
3183.37473,0.14034
3182.41037,0.13956
3181.44600,0.13908
3180.48163,0.13860
3179.51727,0.13790
3178.55290,0.13696
3177.58853,0.13598
3176.62417,0.13507
3175.65980,0.13425
3174.69543,0.13352
3173.73107,0.13288
3172.76670,0.13218
3171.80233,0.13132
3170.83797,0.13041
3169.87360,0.12956
3168.90923,0.12871
3167.94487,0.12779
3166.98050,0.12690
3166.01613,0.12602
3165.05177,0.12507
3164.08740,0.12414
3163.12303,0.12335
3162.15867,0.12267
3161.19430,0.12197
3160.22993,0.12119
3159.26556,0.12045
3158.30120,0.11977
3157.33683,0.11896
3156.37246,0.11800
3155.40810,0.11700
3154.44373,0.11610
3153.47936,0.11530
3152.51500,0.11447
3151.55063,0.11365
3150.58626,0.11294
3149.62190,0.11232
3148.65753,0.11169
3147.69316,0.11098
3146.72880,0.11013
3145.76443,0.10918
3144.80006,0.10824
3143.83570,0.10737
3142.87133,0.10664
3141.90696,0.10592
3140.94260,0.10507
3139.97823,0.10413
3139.01386,0.10321
3138.04950,0.10242
3137.08513,0.10178
3136.12076,0.10117
3135.15640,0.10046
3134.19203,0.09970
3133.22766,0.09900
3132.26330,0.09827
3131.29893,0.09739
3130.33456,0.09645
3129.37019,0.09561
3128.40583,0.09491
3127.44146,0.09428
3126.47709,0.09358
3125.51273,0.09276
3124.54836,0.09197
3123.58399,0.09129
3122.61963,0.09071
3121.65526,0.09014
3120.69089,0.08948
3119.72653,0.08877
3118.76216,0.08809
3117.79779,0.08745
3116.83343,0.08679
3115.86906,0.08607
3114.90469,0.08535
3113.94033,0.08463
3112.97596,0.08390
3112.01159,0.08320
3111.04723,0.08253
3110.08286,0.08187
