,Material,"Diameter, (nm)",Zeta potential (mV),"Concentration, (g/L)",Viability (%),"Time, (h)","Molecular weight, (g/mol)",Average electronegativity,Elements,"Average ionic radius, Å"
942,TiO2,150.0,-17.6,3.5399533070634555e-10,94.23559,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
943,ZnO,100.0,-26.0,0.015,72.134,48.0,81.4084,2.545,Zn,0.88
944,CuO,52.51,-39.67,0.05,46.0,24.0,79.5454,2.67,Cu,0.82
945,TiO2,50.0,-17.6,2.8741706578843293e-08,18.892702,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
946,Au,6.3,24.4,0.005,103.26,24.0,196.966569,2.54,Au, 
947,Fe3O4,145.8,17.7,1.130314069807151e-09,26.200872,72.0,231.5326,2.75,Fe,0.8525
948,Fe3O4,28.33,49.25722173011928,0.01,94.302,6.0,231.5326,2.75,Fe,0.8525
949,ZnO,24.0,-44.6,1.664537072901585e-06,11.976517,48.0,81.4084,2.545,Zn,0.88
950,Au,6.3,24.4,0.0012,99.112,24.0,196.966569,2.54,Au, 
951,Pt,13.5,-40.5,4.689255281653665e-06,16.234066,48.0, , ,Pt,0.805
952,CuO,30.09,-39.67,0.0316,1.1561,48.0,79.5454,2.67,Cu,0.82
953,Fe3O4,145.8,17.7,2.8257851745178776e-10,125.0,72.0,231.5326,2.75,Fe,0.8525
954,ZnO,100.0,-26.0,0.025,76.856,6.0,81.4084,2.545,Zn,0.88
955,TiO2,38.0,-17.6,1.0912406213112371e-09,98.72727,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
956,ZnO,173.48,-26.0,0.1,35.084,24.0,81.4084,2.545,Zn,0.88
957,ZnO,100.0,-26.0,0.025,14.625,24.0,81.4084,2.545,Zn,0.88
958,Fe3O4,361.4,12.1,4.631182020934381e-12,69.88636,168.0,231.5326,2.75,Fe,0.8525
959,Ag,28.41,-33.33,3.555454180043988e-08,104.42997,48.0,107.8682,1.93,Ag,1.086666666666667
960,Fe3O4,957.0,49.25722173011928,1.59880642016515e-14,97.75281,24.0,231.5326,2.75,Fe,0.8525
961,SiO2,50.0,-35.9,0.0125,94.403,24.0, ,2.9266666666666663,Si, 
962,Fe3O4,274.1,-27.7,3.402315585404808e-11,77.617546,24.0,231.5326,2.75,Fe,0.8525
963,Fe3O4,145.8,17.7,1.130314069807151e-09,0.8414183,168.0,231.5326,2.75,Fe,0.8525
964,Au,25.0,24.4,0.01,15.013,4.0,196.966569,2.54,Au, 
965,CuO,46.3,-39.67,0.02,45.215,12.0,79.5454,2.67,Cu,0.82
966,Fe3O4,361.4,12.1,9.27720757398714e-12,93.199493,4.0,231.5326,2.75,Fe,0.8525
967,SiO2, , ,1.0,85775.0,24.0, , , , 
968,Au,65.0,24.4,0.0002,77.333,96.0,196.966569,2.54,Au, 
969,Fe3O4,361.4,12.1,4.631182020934381e-12,93.6327133,4.0,231.5326,2.75,Fe,0.8525
970,Fe3O4,196.4,49.25722173011928,1.849725341605939e-09,98.21391782,24.0,231.5326,2.75,Fe,0.8525
971,MnO,14.0,79.47903071527261,7.633750982421941e-06,60.414936,48.0,70.937445, ,Mn,0.6483333333333333
972,ZnO,45.3,-26.0,1e-05,97.368,12.0,81.4084,2.545,Zn,0.88
973,Fe3O4,36.0,49.25722173011928,7.508690494654784e-08,78.22526,24.0,231.5326,2.75,Fe,0.8525
974,Au,6.0,24.4,0.1,69.675,24.0,196.966569,2.54,Au, 
975,Fe3O4,361.4,12.1,9.27720757398714e-12,88.25786,72.0,231.5326,2.75,Fe,0.8525
976,ZnO,165.0,-26.0,5.122422126675351e-11,104.363815,3.0,81.4084,2.545,Zn,0.88
977,SiO2,21.06,-35.9,0.5,17.007,72.0, ,2.9266666666666663,Si, 
978,SiO2,199.89,-35.9,0.05,29.252,72.0, ,2.9266666666666663,Si, 
979,Fe3O4,46.8,49.25722173011928,0.001,100.33,12.0,231.5326,2.75,Fe,0.8525
980,C56H103N9O39,40.0,34.6,0.02,30.581,36.0,1526.45392,2.564830917874396,C,0.3
981,SiO2,15.0,-35.9,0.1,58.048,72.0, ,2.9266666666666663,Si, 
982,Fe3O4,14.0,49.25722173011928,2.553392592701264e-05,76.34855,48.0,231.5326,2.75,Fe,0.8525
983,Pt,13.5,-40.5,4.689255281653665e-06,14.784703,72.0, , ,Pt,0.805
984,ZnO,100.0,-26.0,0.035,56.769,3.0,81.4084,2.545,Zn,0.88
985,TiO2,38.0,-17.6,1.0912406213112371e-09,98.72727,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
986,Au,25.0,24.4,1.034632726079116e-07,66.206894,48.0,196.966569,2.54,Au, 
987,SiO2,20.0,-35.9,0.00625,87.687,24.0, ,2.9266666666666663,Si, 
988,Ag,28.41,-33.33,7.110908360087976e-08,68.40391,24.0,107.8682,1.93,Ag,1.086666666666667
989,ZnO,141.0,-26.0,0.025,15.736,24.0,81.4084,2.545,Zn,0.88
990,TiO2,150.0,-17.6,2.158652437067873e-11,90.97744,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
991,Au,6.3,24.4,0.0012,99.494,24.0,196.966569,2.54,Au, 
992,Al2O3,28.0,8.667160493827168,0.025,74.506,24.0,101.9612772, ,Al,0.675
993,SiO2,120.0,-35.9,0.5,83.333,96.0, ,2.9266666666666663,Si, 
994,TiO2,35.0,-17.6,6.982921909339963e-08,87.06105,4.0,79.8658,2.806666666666666,Ti,0.8516666666666667
995,CuO,46.3,-39.67,0.02,45.215,12.0,79.5454,2.67,Cu,0.82
996,TiO2,420.7,-9.96,9.650171332427764e-11,123.90859,3.0,79.8658,2.806666666666666,Ti,0.8516666666666667
997,Al2O3,39.7,8.667160493827168,0.005,95.38,12.0,101.9612772, ,Al,0.675
998,Ag,27.02,-18.4,4.467769040041691e-09,77.62712,48.0,107.8682,1.93,Ag,1.086666666666667
999,Fe3O4,361.4,12.1,9.27720757398714e-12,97.551163,24.0,231.5326,2.75,Fe,0.8525
1000,TiO2,38.0,-17.6,5.456203106556184e-08,81.27273,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
1001,Fe3O4,361.4,12.1,9.27720757398714e-12,37.288136,72.0,231.5326,2.75,Fe,0.8525
1002,Pt,13.5,-8.0,4.689255281653665e-06,57.2973,24.0, , ,Pt,0.805
1003,CuO,22.83,-39.67,0.002,83.404,24.0,79.5454,2.67,Cu,0.82
1004,SiO2,199.89,-35.9,0.2,22.676,72.0, ,2.9266666666666663,Si, 
1005,Fe3O4,12.5,49.25722173011928,7.174665496957201e-05,49.814953,28.0,231.5326,2.75,Fe,0.8525
1006,Fe3O4,361.4,12.1,7.421766059189711e-11,93.133453,1.0,231.5326,2.75,Fe,0.8525
1007,TiO2,6.0,-17.6,0.1,87.31,24.0,79.8658,2.806666666666666,Ti,0.8516666666666667
1008,SiO2,20.0,-35.9,0.00625,87.687,24.0, ,2.9266666666666663,Si, 
1009,CuO,30.0,-39.67,0.005,65.564,48.0,79.5454,2.67,Cu,0.82
1010,ZnO,24.0,43.8,1.664537072901585e-09,100.03914,48.0,81.4084,2.545,Zn,0.88
1011,Au,21.7,-7.6,0.0001575732552,71.33922,24.0,196.966569,2.54,Au, 
1012,SiO2,100.33,-35.9,0.5,55.862,72.0, ,2.9266666666666663,Si, 
