X,Y,Z
-91.25,541.114,-3.4506
-74.446,540.246,24.793
48.393,540.539,74.304
63.899,540.887,67.061
-90.864,541.079,6.5456
-60.549,540.156,-41.353
-50.426,540.322,-58.456
-64.776,539.919,35.114
-84.03,540.967,-28.071
-91.708,541.206,-12.854
-57.349,539.737,41.949
45.213,540.449,-66.207
31.106,540.685,-80.145
58.037,539.442,-3.7145
51.313,539.23,25.392
65.445,539.921,33.241
14.471,539.992,79.986
-11.485,540.174,-73.7
-19.742,540.023,-68.079
-19.465,540.489,-79.605
-10.618,540.524,-82.306
-1.407,540.643,-85.5
23.405,540.837,-86.315
16.098,541.029,-92.074
7.4288,540.809,-88.823
-75.831,540.654,-34.021
-92.346,541.367,-22.611
-82.244,540.755,29.623
-90.519,541.108,16.085
106.25,542.191,4.5358
69.128,540.798,58.593
58.236,541.012,75.245
-2.1055,539.116,61.774
28.098,540.802,89.735
18.21,540.537,88.651
38.032,541.108,90.24
43.275,540.781,82.19
8.3882,540.379,87.747
-28.751,540.475,-76.012
-8.6491,539.339,67.138
-6.7114,539.769,76.866
4.729,539.874,79.154
64.514,540.267,50.068
52.582,539.199,10.335
60.043,539.558,24.419
60.896,539.524,15.336
70.315,540.008,22.428
-9.05,540.964,-91.817
0.0968,541.103,-95.107
-18.018,540.878,-88.524
63,540.856,-61.094
9.2346,541.324,-98.919
-6.8792,541.58,-103.9
-16.21,541.331,-98.1
-27.156,540.852,-85.248
-25.445,541.274,-94.675
-36.487,540.882,-82.099
-36.639,540.483,-72.555
-34.588,541.306,-91.873
65.641,540.417,-43.606
105.8,542.218,14.491
105.77,542.154,-4.9014
53.096,541.216,82.956
48.346,541.642,92.575
62.87,541.749,83.897
68.185,541.542,75.48
57.572,541.933,90.748
12.503,541.02,96.817
-1.4098,540.294,86.84
2.69,540.894,95.911
60.517,539.496,6.0675
70.017,539.912,10.604
67.707,539.823,-0.21758
77.871,540.312,4.4749
32.147,541.13,-89.335
24.677,541.309,-95.423
18.462,541.549,-101.71
12.037,541.792,-107.05
27.042,541.844,-104.79
32.958,541.589,-98.092
41.801,541.61,-94.507
39.776,541.012,-83.155
48.831,541.449,-87.349
-68.285,539.973,28.35
-74.337,540.369,33.516
-82.692,540.997,39.787
-73.575,540.557,43.426
-90.551,541.406,34.94
-89.459,541.152,25.361
-81.338,541.202,49.648
-92.207,541.843,46.637
69.928,540.314,41.768
-98.057,541.697,20.891
-97.588,541.8,29.643
-98.732,541.648,11.38
-23.865,541.762,-104.22
-15.532,541.787,-106.52
-32.551,541.754,-101.28
-42.177,541.792,-97.785
-43.708,541.34,-88.002
-100.12,541.747,-7.7303
-100.41,541.849,-17.69
-99.444,541.666,2.2106
-45.044,540.497,-67.648
-106.31,542.282,16.134
-105.06,542.313,25.229
-99.111,542.128,38.588
-104.15,542.393,32.933
-44.744,540.936,-78.669
-53.145,541.476,-84.819
-36.08,540.145,-64.095
-29.302,540.078,-65.785
-51.497,541.881,-94.226
75.349,540.426,33.472
74.471,540.818,50.646
79.883,540.887,42.355
47.188,540.92,-76.7
-53.223,539.789,50.667
70.278,540.259,-28.063
-16.173,539.694,73.692
55.936,540.91,-69.562
69.218,540.877,-53.845
4.0668,541.672,-105.76
-102.39,542.15,-28.254
-92.285,541.541,-32.577
77.717,541.039,-45.797
65.561,539.804,-10.794
-67.032,540.63,-49.031
-61.426,540.756,-59.867
41.328,541.82,98.627
33.176,541.604,99.233
22.485,541.455,100.65
78.982,541.41,59.447
84.429,541.45,51.092
73.302,541.427,67.645
-84.009,541.175,-37.926
-92.841,541.812,-42.524
-76.474,540.922,-43.675
-69.289,540.485,-39.979
77.99,542.188,76.292
83.609,542.073,67.109
-72.041,540.769,53.295
-59.925,541.965,-90.021
-61.109,541.572,-80.755
-66.746,542.028,-85.647
-70.584,541.844,-77.754
-61.722,541.193,-71.364
-53.172,541.054,-75.468
-70.252,541.352,-66.227
-54.063,540.729,-66.406
-78.925,541.968,-71.168
6.7985,541.599,104.98
-7.2522,540.841,94.937
89.229,542.077,58.703
94.44,542.132,50.126
89.705,541.541,42.62
-3.1452,541.507,104.01
14.425,541.763,106.04
50.679,541.922,-95.568
-100.16,542.191,-38.051
-84.426,541.46,-47.906
-107.2,542.282,6.4145
-107.48,542.291,-3.6082
-107.48,542.336,-11.98
78.66,540.377,15.065
76.268,540.267,-6.5185
98.628,541.632,9.0359
97.113,541.501,0.69689
103.9,542.182,23.466
96.301,541.515,16.837
101.8,542.196,32.954
98.521,542.165,41.435
92.621,541.537,34.421
94.751,541.518,25.774
84.072,540.964,34.735
80.556,540.591,25.364
87.483,541.059,27.647
87.547,540.958,19.88
88.307,540.924,9.1862
87.252,540.861,-1.8675
105.52,542.202,-14.712
104.24,542.224,-24.158
101.79,542.205,-33.147
98.581,542.178,-41.902
94.589,542.146,-50.337
88.415,541.558,-43.389
89.855,542.11,-58.388
84.427,542.064,-65.995
78.353,542.022,-73.101
80.087,541.5,-56.837
71.681,541.977,-79.652
74.209,541.454,-63.894
64.463,541.935,-85.597
67.876,541.42,-70.646
86.133,541.639,-50.95
62.751,541.476,-77.142
57.161,541.904,-90.873
56.055,541.404,-81.205
92.52,541.607,-34.644
95.786,541.652,-26.199
98.229,541.715,-18.788
96.197,541.478,-9.9035
83.131,541.081,-36.087
87.408,541.143,-27.137
90.944,541.234,-18.938
83.368,540.801,-20.768
78.705,540.672,-27.955
84.765,540.787,-12.513
72.538,540.534,-35.836
74.445,540.303,-18.193
-44.717,539.72,58.147
-19.834,539.332,63.766
-14.618,540.266,84.858
-64.254,540.174,47.035
-79.845,541.476,59.532
-78.253,541.573,-61.597
-13.333,541.578,103.98
-92.776,542.074,-51.935
-16.896,540.947,95.033
-35.089,539.33,54.878
-53.826,540.192,61.733
-28.056,539.776,70.981
